name,duration_sec,duration_hms,size_bytes,size_mb,path,indexed_in_db
"Relaxing Vintage Music 10 Hours  1920s 1930s Music Ambience  ASMR Hotel Ambience.mp3",36091.507,10:01:32,866196303,826.069,"action/Relaxing Vintage Music 10 Hours  1920s 1930s Music Ambience  ASMR Hotel Ambience.mp3",yes
"Vinyl ASMR - 1920s Jazz & Swing!.mp3",36072.816,10:01:13,577165868,550.428,"action/Vinyl ASMR - 1920s Jazz & Swing!.mp3",yes
"AMENHOTEP lll - Ancient Pharaoh Music - Mystic & Calming Atmosphere - Dark Prayers & Mystic Chants.mp3",17999.040,04:59:59,288591248,275.222,"ancient/nephren-ka/AMENHOTEP lll - Ancient Pharaoh Music - Mystic & Calming Atmosphere - Dark Prayers & Mystic Chants.mp3",yes
"4 Hours of Sacred Choir Music for Relaxing, Prayer, Meditation & Sleep.mp3",16031.295,04:27:11,257647058,245.711,"contacts/big-city/rome/4 Hours of Sacred Choir Music for Relaxing, Prayer, Meditation & Sleep.mp3",yes
"Arkham Horror LCG - The Mountains of Madness.mp3",16077.576,04:27:58,257601526,245.668,"ancient/rise-of-the-elder-things/Arkham Horror LCG - The Mountains of Madness.mp3",yes
"4 Hours Call of Cthulhu Dark Mystery Orchestral Remix for Gaming, Arkham Horror LCG, Call of Cthulhu.mp3",15297.594,04:14:58,245727239,234.344,"ancient/cthulhu/4 Hours Call of Cthulhu Dark Mystery Orchestral Remix for Gaming, Arkham Horror LCG, Call of Cthulhu.mp3",yes
"Relaxing Vintage Music 4 Hours ｜ 1920s 1930s Ambience Music ｜ Gramophone in the Table.mp3",14983.053,04:09:43,240395470,229.259,"action/Relaxing Vintage Music 4 Hours ｜ 1920s 1930s Ambience Music ｜ Gramophone in the Table.mp3",yes
"2 LAKE CAMP --- ❄ Scary Cold Howling Snowstorm in a Frozen Arctic Environment for Relaxation, Sleeping and Fantasy.mp3",14417.607,04:00:18,230942298,220.244,"contacts/antarctica/lake-camp/2 LAKE CAMP --- ❄ Scary Cold Howling Snowstorm in a Frozen Arctic Environment for Relaxation, Sleeping and Fantasy.mp3",yes
"Unholy Anthem to Idiocy： AZATHOTH (dark Lovecraftian space ambient).mp3",12907.572,03:35:08,206896194,197.312,"ancient/syzygy/Unholy Anthem to Idiocy： AZATHOTH (dark Lovecraftian space ambient).mp3",yes
"The ULTIMATE Monster Hunter World Battle Themes.mp3",12198.426,03:23:18,195183404,186.141,"combat/The ULTIMATE Monster Hunter World Battle Themes.mp3",yes
"UNIVERSAL --- DnD Calm Fantasy Music for Adventure and Exploration ｜ 3 Hour Mix for Dungeons & Dragons.mp3",11095.275,03:04:55,178578974,170.306,"contacts/expedition/expeditions/city/UNIVERSAL --- DnD Calm Fantasy Music for Adventure and Exploration ｜ 3 Hour Mix for Dungeons & Dragons.mp3",yes
"Blizzard Storm Sounds ｜ Relaxing Winter Background Sounds ｜ Heavy Wind & Snow.mp3",10806.283,03:00:06,174060180,165.997,"ancient/ithaqua/Blizzard Storm Sounds ｜ Relaxing Winter Background Sounds ｜ Heavy Wind & Snow.mp3",yes
"HOT --- Indiana Jones ｜ Adventurous Ambient Soundscapes with Epic Music from the Film Series, 4 Scenes in 4k.mp3",10810.880,03:00:11,173872407,165.818,"contacts/expedition/expeditions/hot/HOT --- Indiana Jones ｜ Adventurous Ambient Soundscapes with Epic Music from the Film Series, 4 Scenes in 4k.mp3",yes
"Abandoned City ｜ Eerie Ambience ｜ 3 Hours.mp3",10800.091,03:00:00,173618534,165.576,"contacts/devastation/Abandoned City ｜ Eerie Ambience ｜ 3 Hours.mp3",yes
"Cthulhu ｜ DARK AMBIENT LOVECRAFTIAN MUSIC - 3 hours.mp3",10800.065,03:00:00,173578263,165.537,"ancient/cthulhu/Cthulhu ｜ DARK AMBIENT LOVECRAFTIAN MUSIC - 3 hours.mp3",yes
"3 Hours of ＂Prison＂ Ambience  - Amnesia The Dark Descent (No Music).mp3",10800.091,03:00:00,173349805,165.319,"contacts/obstruction/detained/3 Hours of ＂Prison＂ Ambience  - Amnesia The Dark Descent (No Music).mp3",yes
"Cthulhu Dreams in R'lyeh ｜ Underwater Dark Ambience ｜ 3 Hours.mp3",10800.091,03:00:00,172804742,164.799,"ancient/antediluvium/Cthulhu Dreams in R'lyeh ｜ Underwater Dark Ambience ｜ 3 Hours.mp3",yes
"Sitting in an empty 1920's bar - Ambience 3 Hours focus.mp3",10800.144,03:00:00,172804396,164.799,"action-muted/Sitting in an empty 1920's bar - Ambience 3 Hours focus.mp3",yes
"＂Yeti's Realm＂ Fantasy Ambience ⧸ Himalayan Encounter - Blowing Snow, Creature Sounds.mp3",10800.065,03:00:00,172802388,164.797,"ancient/ithaqua/＂Yeti's Realm＂ Fantasy Ambience ⧸ Himalayan Encounter - Blowing Snow, Creature Sounds.mp3",yes
"3 UNDERWORLD --- D&D Ambience -  Dark, Dank Cave.m4a",10520.080,02:55:20,170138159,162.256,"contacts/dreamlands/underworld/3 UNDERWORLD --- D&D Ambience -  Dark, Dank Cave.m4a",yes
"You're at a ball in The Gold Room (1921 Overlook Hotel ambience, oldies, people chatter 3 HOURS ASMR.mp3",10615.589,02:56:56,169854804,161.986,"action-muted/You're at a ball in The Gold Room (1921 Overlook Hotel ambience, oldies, people chatter 3 HOURS ASMR.mp3",yes
"D&D Ambience -  Calm Sea Sailing.mp3",10520.085,02:55:20,169752537,161.889,"contacts/general/sea/space-2/D&D Ambience -  Calm Sea Sailing.mp3",yes
"D&D Ambience - Ship In Storm.mp3",10520.007,02:55:20,169728261,161.865,"contacts/general/sea/space-13/D&D Ambience - Ship In Storm.mp3",yes
"D&D Ambience -  Dark, Dank Cave.mp3",10520.085,02:55:20,169600996,161.744,"contacts/other-world/underworld/D&D Ambience -  Dark, Dank Cave.mp3",yes
"D&D Ambience - Ship Cabin.mp3",10520.007,02:55:20,169209920,161.371,"contacts/general/sea/space-12/D&D Ambience - Ship Cabin.mp3",yes
"5 CITY OF THE ELDER --- Arkham Horror The Card Game - City of the Elder Things - Original Soundtrack from Edge of the Earth.mp3",6420.506,01:47:01,154092283,146.954,"contacts/antarctica/city-of-elder-things/5 CITY OF THE ELDER --- Arkham Horror The Card Game - City of the Elder Things - Original Soundtrack from Edge of the Earth.mp3",yes
"6 SELEPHAIS --- Y2meta.app - Arabic Ambience _ Old Arabian City Ambience (128 kbps).mp3",9083.087,02:31:23,145329530,138.597,"contacts/dreamlands/celephais/6 SELEPHAIS --- Y2meta.app - Arabic Ambience _ Old Arabian City Ambience (128 kbps).mp3",yes
"Victorian Ambience： LONDON'S MYSTERY - The Dark Alley ｜ Mysterious Ambient Music with Thunderstorm (mp3cut.net).mp3",8332.800,02:18:53,133334113,127.157,"contacts/big-city/london/Victorian Ambience： LONDON'S MYSTERY - The Dark Alley ｜ Mysterious Ambient Music with Thunderstorm (mp3cut.net).mp3",yes
"Amarna -- Relaxing Ancient Egyptian Music & Night River Ambience ｜ Triangle Harp ｜ sleep, study, meditation.mp3",7818.815,02:10:19,125490039,119.677,"contacts/egypt/tel-el-amarna/Amarna -- Relaxing Ancient Egyptian Music & Night River Ambience ｜ Triangle Harp ｜ sleep, study, meditation.mp3",yes
"2h Dark Cinematic Ambience “The Shadow Out of Time”.mp3",7322.514,02:02:03,118540676,113.049,"contacts/other-world/great-race/2h Dark Cinematic Ambience “The Shadow Out of Time”.mp3",yes
"2 Saat Osmanlı Musiki (Hasret).mp3",7267.683,02:01:08,117846391,112.387,"contacts/big-city/istanbul/2 Saat Osmanlı Musiki (Hasret).mp3",yes
"1 ENCHANTED WOOD --- Enchanted Forest - Music & Ambience ✨🌲🧚🏻 (mp3cut.net).mp3",7290.985,02:01:31,117804937,112.348,"contacts/dreamlands/enchanted-wood/1 ENCHANTED WOOD --- Enchanted Forest - Music & Ambience ✨🌲🧚🏻 (mp3cut.net).mp3",yes
"Alexandria -- you're in the library of alexandria overflowing your mind with so much knowledge (playlist).mp3",7359.164,02:02:39,117749295,112.294,"contacts/egypt/alexandria/Alexandria -- you're in the library of alexandria overflowing your mind with so much knowledge (playlist).mp3",yes
"Cthulhu's Temple - Dark Ambient Music - Immersive Lovecraftian Horror Atmosphere.mp3",7310.524,02:01:51,116971796,111.553,"ancient/cthulhu/Cthulhu's Temple - Dark Ambient Music - Immersive Lovecraftian Horror Atmosphere.mp3",yes
"2 Hours of Dark Mystery Horror Music： Beyond Arkham H.P. Lovecraft.mp3",7213.944,02:00:14,116945821,111.528,"mythos/2 Hours of Dark Mystery Horror Music： Beyond Arkham H.P. Lovecraft.mp3",yes
"Prison Cell ｜ Ambience ｜ 2 hours.mp3",7199.086,01:59:59,116619679,111.217,"contacts/obstruction/detained/Prison Cell ｜ Ambience ｜ 2 hours.mp3",yes
"Amarna -- Mysterious Ancient Egyptian Tomb Ambience ASMR 🏺 Tomb Sounds, Sand Debris, Moaning Phantoms + Mor (mp3cut.net).mp3",7197.074,01:59:57,116569402,111.169,"contacts/egypt/tel-el-amarna/Amarna -- Mysterious Ancient Egyptian Tomb Ambience ASMR 🏺 Tomb Sounds, Sand Debris, Moaning Phantoms + Mor (mp3cut.net).mp3",yes
"DARK AMBIENT MUSIC ｜ H. P. Lovecraft - The Dunwich Horror.mp3",7200.000,02:00:00,116490945,111.094,"ancient/yog-sothoth/DARK AMBIENT MUSIC ｜ H. P. Lovecraft - The Dunwich Horror.mp3",yes
