Sorted by duration_sec DESC (then size_bytes DESC)
name	duration_hms	duration_sec	size_mb	size_bytes	path	indexed_in_db
Relaxing Vintage Music 10 Hours  1920s 1930s Music Ambience  ASMR Hotel Ambience.mp3	10:01:32	36091.507	826.069	866196303	action/Relaxing Vintage Music 10 Hours  1920s 1930s Music Ambience  ASMR Hotel Ambience.mp3	yes
Vinyl ASMR - 1920s Jazz & Swing!.mp3	10:01:13	36072.816	550.428	577165868	action/Vinyl ASMR - 1920s Jazz & Swing!.mp3	yes
AMENHOTEP lll - Ancient Pharaoh Music - Mystic & Calming Atmosphere - Dark Prayers & Mystic Chants.mp3	04:59:59	17999.040	275.222	288591248	ancient/nephren-ka/AMENHOTEP lll - Ancient Pharaoh Music - Mystic & Calming Atmosphere - Dark Prayers & Mystic Chants.mp3	yes
Arkham Horror LCG - The Mountains of Madness.mp3	04:27:58	16077.576	245.668	257601526	ancient/rise-of-the-elder-things/Arkham Horror LCG - The Mountains of Madness.mp3	yes
4 Hours of Sacred Choir Music for Relaxing, Prayer, Meditation & Sleep.mp3	04:27:11	16031.295	245.711	257647058	contacts/big-city/rome/4 Hours of Sacred Choir Music for Relaxing, Prayer, Meditation & Sleep.mp3	yes
4 Hours Call of Cthulhu Dark Mystery Orchestral Remix for Gaming, Arkham Horror LCG, Call of Cthulhu.mp3	04:14:58	15297.594	234.344	245727239	ancient/cthulhu/4 Hours Call of Cthulhu Dark Mystery Orchestral Remix for Gaming, Arkham Horror LCG, Call of Cthulhu.mp3	yes
Relaxing Vintage Music 4 Hours ｜ 1920s 1930s Ambience Music ｜ Gramophone in the Table.mp3	04:09:43	14983.053	229.259	240395470	action/Relaxing Vintage Music 4 Hours ｜ 1920s 1930s Ambience Music ｜ Gramophone in the Table.mp3	yes
2 LAKE CAMP --- ❄ Scary Cold Howling Snowstorm in a Frozen Arctic Environment for Relaxation, Sleeping and Fantasy.mp3	04:00:18	14417.607	220.244	230942298	contacts/antarctica/lake-camp/2 LAKE CAMP --- ❄ Scary Cold Howling Snowstorm in a Frozen Arctic Environment for Relaxation, Sleeping and Fantasy.mp3	yes
Unholy Anthem to Idiocy： AZATHOTH (dark Lovecraftian space ambient).mp3	03:35:08	12907.572	197.312	206896194	ancient/syzygy/Unholy Anthem to Idiocy： AZATHOTH (dark Lovecraftian space ambient).mp3	yes
The ULTIMATE Monster Hunter World Battle Themes.mp3	03:23:18	12198.426	186.141	195183404	combat/The ULTIMATE Monster Hunter World Battle Themes.mp3	yes
UNIVERSAL --- DnD Calm Fantasy Music for Adventure and Exploration ｜ 3 Hour Mix for Dungeons & Dragons.mp3	03:04:55	11095.275	170.306	178578974	contacts/expedition/expeditions/city/UNIVERSAL --- DnD Calm Fantasy Music for Adventure and Exploration ｜ 3 Hour Mix for Dungeons & Dragons.mp3	yes
